t_contact_s,theta_err_t1_deg
0.722,9.165874535
0.723,9.165677691
0.724,9.165594687
0.725,9.165293371
0.726,9.165180763
0.727,9.165092105
0.728,9.164814343
0.729,9.164471367
0.73,9.164199081
0.731,9.163810054
0.732,9.163368709
0.733,9.162878419
0.734,9.162327051
0.735,9.161832814
0.736,9.161418425
0.737,9.161011813
0.738,9.160653889
0.739,9.160083414
0.74,9.159732617
0.741,9.159295895
0.742,9.158752571
0.743,9.158415179
0.744,9.157973165
0.745,9.157739661
0.746,9.1573957
0.747,9.157162824
0.748,9.157126826
0.749,9.156714612
0.75,9.156520306
0.751,9.156330859
0.752,9.156143798
0.753,9.155903759
0.754,9.155796216
0.755,9.155597417
0.756,9.155427746
0.757,9.15520041
0.758,9.154875009
0.759,9.154517265
0.76,9.154064511
0.761,9.153603453
0.762,9.153117755
0.763,9.152599324
0.764,9.152177133
0.765,9.151936169
0.766,9.15134898
0.767,9.150932181
0.768,9.150375081
0.769,9.149980489
0.77,9.149541753
0.771,9.148994217
0.772,9.148722088
0.773,9.148427594
0.774,9.148070583
0.775,9.148003295
0.776,9.147695237
0.777,9.147443089
0.778,9.147229003
0.779,9.147033164
0.78,9.146854921
0.781,9.146642695
0.782,9.146413492
0.783,9.146318347
0.784,9.146170107
0.785,9.145994424
0.786,9.145704806
0.787,9.145411097
0.788,9.145081418
0.789,9.144531091
0.79,9.144160217
0.791,9.143551025
0.792,9.143136926
0.793,9.142598728
0.794,9.142055573
0.795,9.141670516
0.796,9.141224078
0.797,9.140784501
0.798,9.140448178
0.799,9.139976094
0.8,9.139601309
0.801,9.13923038
0.802,9.13906748
0.803,9.138838719
0.804,9.138705873
0.805,9.138671634
0.806,9.138470611
0.807,9.138365532
0.808,9.138260988
0.809,9.138170674
0.81,9.138125604
0.811,9.137898622
0.812,9.13773981
0.813,9.13758647
0.814,9.137294238
0.815,9.137187805
0.816,9.136786564
0.817,9.136343907
0.818,9.135972051
0.819,9.135534276
0.82,9.135051915
0.821,9.134677225
0.822,9.134186269
0.823,9.133875693
0.824,9.133567269
0.825,9.13314335
0.826,9.132851275
0.827,9.132609744
0.828,9.132317102
0.829,9.132003771
0.83,9.131784777
0.831,9.131670781
0.832,9.131415528
0.833,9.131413308
0.834,9.131244341
0.835,9.131157067
0.836,9.131051615
0.837,9.130908871
0.838,9.130901917
0.839,9.13072933
0.84,9.130553238
0.841,9.13029091
0.842,9.129973816
0.843,9.129682239
0.844,9.129236036
0.845,9.128885884
0.846,9.128336436
0.847,9.127956201
0.848,9.12748711
0.849,9.127167952
0.85,9.126753863
0.851,9.126422136
0.852,9.12619906
0.853,9.125829521
0.854,9.125435335
0.855,9.125386041
0.856,9.124971207
0.857,9.124849848
0.858,9.12448563
0.859,9.124286015
0.86,9.124224348
0.861,9.123946988
0.862,9.123834118
0.863,9.123636554
0.864,9.123740238
0.865,9.123438856
0.866,9.123287288
0.867,9.123105848
0.868,9.122951528
0.869,9.122813847
0.87,9.1225231
0.871,9.122349295
0.872,9.122118037
0.873,9.121774245
0.874,9.121512431
0.875,9.121300259
0.876,9.120999789
0.877,9.120771697
0.878,9.120624815
0.879,9.12018233
0.88,9.119994487
0.881,9.119907239
0.882,9.119607464
0.883,9.119548216
0.884,9.119293905
0.885,9.119102054
0.886,9.119046893
0.887,9.118974919
0.888,9.119002291
0.889,9.118858028
0.89,9.118752862
0.891,9.118860211
0.892,9.118693607
0.893,9.118657074
0.894,9.118425792
0.895,9.11841962
0.896,9.118305664
0.897,9.118052521
0.898,9.118002431
0.899,9.117818073
0.9,9.117541738
0.901,9.117270068
0.902,9.117103281
0.903,9.116891873
0.904,9.116632082
0.905,9.116487011
0.906,9.116149751
0.907,9.116042773
0.908,9.115940595
0.909,9.115770952
0.91,9.11558923
0.911,9.115471014
0.912,9.115195807
0.913,9.115157343
0.914,9.114998731
0.915,9.114960162
0.916,9.114950373
0.917,9.114758092
0.919,9.114550271
0.92,9.114482233
0.921,9.114398087
0.922,9.114253384
0.923,9.114131572
0.924,9.113958314
0.925,9.113750632
0.926,9.113439797
0.927,9.113202308
0.928,9.11284804
0.929,9.112598604
0.93,9.11221338
0.931,9.111907151
0.932,9.111662774
0.933,9.111439161
0.934,9.111085283
0.935,9.110869063
0.936,9.110584816
0.937,9.110590216
0.938,9.110214161
0.939,9.110076992
0.94,9.109807701
0.941,9.109824329
0.942,9.109569105
0.943,9.109495143
0.944,9.109411355
0.945,9.109351286
0.946,9.109220845
